Region,Season,Dwelling_Type,Average_Temp_C,Split_AC_hours_per_week,Radiant_Heater_hours_per_week,Water_Heater_hours_per_week,Insulation_Yes_Pct,Cooking_Gas_Pct,Cooking_Elec_Pct
Tabuk,Rest_of_Year,Floor in Villa,27.3,53.5,1.0,9.6,41.5,92.7,7.3
Tabuk,Rest_of_Year,Traditional House,27.3,53.5,1.0,9.6,41.5,93.7,6.3
Tabuk,Rest_of_Year,Floor in Traditional,27.3,53.5,1.0,9.6,41.5,100.0,0.0
Tabuk,Rest_of_Year,Apartment,27.3,53.5,1.0,9.6,41.5,89.1,10.8
Hail,Winter,Villa,13.9,10.6,51.9,104.0,39.5,86.4,13.6
Hail,Winter,Floor in Villa,13.9,10.6,51.9,104.0,39.5,89.5,10.5
Hail,Winter,Traditional House,13.9,10.6,51.9,104.0,39.5,92.9,6.5
Hail,Winter,Floor in Traditional,13.9,10.6,51.9,104.0,39.5,96.7,3.3
Hail,Winter,Apartment,13.9,10.6,51.9,104.0,39.5,88.8,11.2
Hail,Rest_of_Year,Villa,28.3,82.1,0.7,6.9,39.5,86.4,13.6
Hail,Rest_of_Year,Floor in Villa,28.3,82.1,0.7,6.9,39.5,89.5,10.5
Hail,Rest_of_Year,Traditional House,28.3,82.1,0.7,6.9,39.5,92.9,6.5
Hail,Rest_of_Year,Floor in Traditional,28.3,82.1,0.7,6.9,39.5,96.7,3.3
Hail,Rest_of_Year,Apartment,28.3,82.1,0.7,6.9,39.5,88.8,11.2
Northern Borders,Winter,Villa,12.2,48.1,38.1,143.0,48.8,95.7,4.3
Northern Borders,Winter,Floor in Villa,12.2,48.1,38.1,143.0,48.8,92.8,7.2
Northern Borders,Winter,Traditional House,12.2,48.1,38.1,143.0,48.8,100.0,0.0
Northern Borders,Winter,Floor in Traditional,12.2,48.1,38.1,143.0,48.8,100.0,0.0
Northern Borders,Winter,Apartment,12.2,48.1,38.1,143.0,48.8,86.9,13.1
Northern Borders,Rest_of_Year,Villa,28.3,90.4,0.8,3.0,48.8,95.7,4.3
Northern Borders,Rest_of_Year,Floor in Villa,28.3,90.4,0.8,3.0,48.8,92.8,7.2
Northern Borders,Rest_of_Year,Traditional House,28.3,90.4,0.8,3.0,48.8,100.0,0.0
Northern Borders,Rest_of_Year,Floor in Traditional,28.3,90.4,0.8,3.0,48.8,100.0,0.0
