Region,Year,Month,Avg_Temperature
Western,2019,4,26.9
Western,2019,5,31.0
Western,2019,6,32.4
Western,2019,7,32.1
Western,2019,8,32.4
Western,2019,9,31.1
Western,2019,10,30.3
Western,2019,11,28.2
Western,2019,12,25.2
Western,2020,1,22.0
Western,2020,2,23.0
Western,2020,3,24.1
Western,2020,4,26.4
Western,2020,5,29.6
Western,2020,6,30.4
Western,2020,7,31.8
Western,2020,8,32.4
Western,2020,9,32.1
Western,2020,10,30.5
Western,2020,11,27.6
Western,2020,12,25.5
Western,2021,1,24.6
Western,2021,2,24.0
Western,2021,3,26.1
Western,2021,4,27.8
Western,2021,5,30.1
Western,2021,6,31.1
Western,2021,7,32.1
Western,2021,8,32.8
Western,2021,9,31.1
Western,2021,10,29.3
Western,2021,11,27.4
Western,2021,12,25.4
Western,2022,1,22.5
Western,2022,2,23.1
Western,2022,3,24.8
Western,2022,4,28.6
Western,2022,5,29.7
Western,2022,6,30.8
Western,2022,7,32.1
Western,2022,8,32.6
Western,2022,9,31.3
Western,2022,10,29.5
Western,2022,11,28.2
Western,2022,12,25.3
Western,2023,1,23.8
Western,2023,2,23.6
Western,2023,3,25.4
Western,2023,4,28.2
Western,2023,5,29.6
Western,2023,6,32.0
Western,2023,7,32.8
Western,2023,8,33.0
Western,2023,9,32.4
Western,2023,10,30.4
Western,2023,11,28.6
Western,2023,12,26.1
Western,2024,1,24.5
Western,2024,2,23.6
Western,2024,3,26.2
Western,2024,4,28.2
Western,2024,5,29.6
Western,2024,6,32.1
Western,2024,7,33.7
Western,2024,8,33.5
Western,2024,9,32.1
Western,2024,10,30.4
Western,2024,11,27.7
Western,2024,12,26.0
Western,2025,1,24.9
Western,2025,2,24.5
Western,2025,3,26.5
Western,2025,4,28.6
Western,2025,5,30.0
Western,2025,6,31.5
Western,2025,7,34.0
Western,2025,8,33.8
Western,2025,9,32.2
Western,2025,10,30.1
Western,2025,11,28.5
Western,2025,12,25.4
Western,2026,1,24.1
Central,2000,1,13.3
Central,2000,2,16.0
Central,2000,3,19.6
Central,2000,4,29.2
Central,2000,5,32.9
Central,2000,6,33.7
Central,2000,7,36.7
Central,2000,8,36.6
Central,2000,9,31.5
Central,2000,10,27.3
Central,2000,11,18.6
Central,2000,12,15.3
Central,2001,1,12.2
Central,2001,2,15.4
Central,2001,3,21.8
Central,2001,4,27.4
Central,2001,5,32.2
Central,2001,6,33.6
Central,2001,7,35.8
Central,2001,8,36.2
Central,2001,9,32.9
Central,2001,10,27.3
Central,2001,11,19.7
Central,2001,12,18.5
Central,2002,1,13.0
Central,2002,2,16.2
Central,2002,3,20.4
Central,2002,4,26.2
Central,2002,5,32.9
Central,2002,6,34.4
Central,2002,7,36.4
Central,2002,8,35.1
Central,2002,9,32.6
Central,2002,10,28.1
Central,2002,11,19.7
Central,2002,12,15.2
Central,2003,1,13.6
Central,2003,2,18.3
Central,2003,3,21.3
Central,2003,4,27.1
Central,2003,5,32.7
Central,2003,6,35.3
Central,2003,7,35.5
Central,2003,8,36.5
Central,2003,9,31.5
Central,2003,10,27.5
Central,2003,11,20.3
Central,2003,12,15.2
Central,2004,1,15.2
Central,2004,2,16.5
Central,2004,3,22.2
Central,2004,4,25.0
Central,2004,5,31.6
Central,2004,6,34.4
Central,2004,7,35.8
Central,2004,8,35.7
Central,2004,9,31.9
Central,2004,10,27.9
Central,2004,11,22.0
Central,2004,12,13.4
Central,2005,1,13.4
Central,2005,2,16.3
Central,2005,3,20.6
Central,2005,4,27.4
Central,2005,5,31.9
Central,2005,6,34.7
Central,2005,7,36.1
Central,2005,8,35.6
Central,2005,9,32.0
Central,2005,10,26.8
Central,2005,11,21.4
Central,2005,12,17.3
Central,2006,1,14.3
Central,2006,2,17.5
Central,2006,3,21.8
Central,2006,4,26.1
Central,2006,5,33.2
Central,2006,6,35.2
Central,2006,7,35.7
Central,2006,8,36.4
Central,2006,9,31.8
Central,2006,10,28.2
Central,2006,11,19.8
Central,2006,12,11.0
Central,2007,1,11.4
Central,2007,2,17.1
Central,2007,3,21.8
Central,2007,4,27.1
Central,2007,5,33.0
Central,2007,6,34.7
Central,2007,7,35.2
Central,2007,8,35.9
Central,2007,9,32.9
Central,2007,10,27.3
Central,2007,11,21.1
Central,2007,12,15.9
Central,2008,1,12.2
Central,2008,2,14.5
Central,2008,3,23.3
Central,2008,4,27.4
Central,2008,5,32.8
Central,2008,6,33.9
Central,2008,7,36.1
Central,2008,8,35.9
Central,2008,9,33.5
Central,2008,10,27.0
Central,2008,11,18.9
Central,2008,12,13.3
Central,2009,1,13.3
Central,2009,2,18.8
Central,2009,3,20.7
Central,2009,4,26.0
Central,2009,5,33.0
Central,2009,6,35.4
Central,2009,7,35.3
Central,2009,8,36.0
Central,2009,9,33.2
Central,2009,10,27.2
Central,2009,11,21.8
Central,2009,12,15.7
Central,2010,1,15.5
Central,2010,2,19.8
Central,2010,3,23.7
Central,2010,4,27.9
Central,2010,5,32.0
Central,2010,6,35.8
Central,2010,7,36.7
Central,2010,8,37.0
Central,2010,9,33.1
Central,2010,10,28.2
Central,2010,11,19.3
Central,2010,12,15.4
Central,2011,1,14.0
Central,2011,2,17.5
Central,2011,3,19.9
Central,2011,4,26.7
Central,2011,5,33.1
Central,2011,6,35.1
Central,2011,7,36.2
Central,2011,8,36.1
Central,2011,9,33.1
Central,2011,10,27.0
Central,2011,11,18.7
Central,2011,12,12.1
Central,2012,1,14.4
Central,2012,2,16.2
Central,2012,3,19.2
Central,2012,4,25.8
Central,2012,5,33.9
Central,2012,6,35.0
Central,2012,7,37.1
Central,2012,8,36.1
Central,2012,9,32.3
Central,2012,10,27.9
Central,2012,11,20.8
Central,2012,12,15.3
Central,2013,1,15.5
Central,2013,2,17.5
Central,2013,3,21.8
Central,2013,4,26.1
Central,2013,5,29.0
Central,2013,6,33.5
Central,2013,7,35.9
Central,2013,8,35.2
Central,2013,9,32.3
Central,2013,10,26.2
Central,2013,11,19.9
Central,2013,12,13.9
Central,2014,1,13.3
Central,2014,2,15.5
Central,2014,3,22.3
Central,2014,4,28.3
Central,2014,5,32.3
Central,2014,6,34.1
Central,2014,7,35.6
Central,2014,8,35.7
Central,2014,9,32.7
Central,2014,10,28.4
Central,2014,11,19.7
Central,2014,12,15.7
Central,2015,1,14.2
Central,2015,2,19.2
Central,2015,3,21.6
Central,2015,4,27.5
Central,2015,5,33.3
Central,2015,6,34.9
Central,2015,7,36.5
Central,2015,8,36.7
Central,2015,9,33.2
Central,2015,10,29.6
Central,2015,11,20.7
Central,2015,12,14.0
Central,2016,1,14.2
Central,2016,2,16.7
Central,2016,3,22.3
Central,2016,4,25.3
Central,2016,5,32.5
Central,2016,6,34.9
Central,2016,7,36.7
Central,2016,8,36.7
Central,2016,9,33.2
Central,2016,10,26.4
Central,2016,11,20.1
Central,2016,12,16.4
Central,2017,1,16.2
Central,2017,2,13.2
Central,2017,3,21.0
Central,2017,4,28.7
Central,2017,5,33.5
Central,2017,6,35.3
Central,2017,7,38.1
Central,2017,8,37.3
Central,2017,9,33.3
Central,2017,10,28.7
Central,2017,11,21.0
Central,2017,12,14.5
Central,2018,1,14.2
Central,2018,2,19.1
Central,2018,3,24.3
Central,2018,4,26.4
Central,2018,5,31.7
Central,2018,6,35.9
Central,2018,7,36.7
Central,2018,8,35.8
Central,2018,9,34.7
Central,2018,10,27.7
Central,2018,11,20.1
Central,2018,12,17.1
Central,2019,1,17.2
Central,2019,2,16.9
Central,2019,3,19.7
Central,2019,4,25.0
Central,2019,5,32.0
Central,2019,6,36.6
Central,2019,7,36.7
Central,2019,8,36.1
Central,2019,9,34.3
Central,2019,10,29.8
Central,2019,11,20.3
Central,2019,12,16.2
Central,2020,1,13.5
Central,2020,2,17.8
Central,2020,3,21.9
Central,2020,4,27.2
Central,2020,5,32.3
Central,2020,6,35.8
Central,2020,7,37.9
Central,2020,8,35.8
Central,2020,9,33.5
Central,2020,10,26.2
Central,2020,11,22.0
Central,2020,12,15.8
Central,2021,1,15.2
Central,2021,2,17.2
Central,2021,3,24.3
Central,2021,4,28.2
Central,2021,5,33.7
Central,2021,6,35.9
Central,2021,7,37.8
Central,2021,8,36.8
Central,2021,9,32.5
Central,2021,10,29.1
Central,2021,11,22.3
Central,2021,12,16.7
Central,2022,1,14.0
Central,2022,2,17.5
Central,2022,3,22.5
Central,2022,4,28.6
Central,2022,5,31.8
Central,2022,6,36.3
Central,2022,7,36.6
Central,2022,8,37.0
Central,2022,9,33.4
Central,2022,10,28.3
Central,2022,11,23.6
Central,2022,12,16.4
Central,2023,1,12.9
Central,2023,2,17.7
Central,2023,3,22.3
Central,2023,4,24.0
Central,2023,5,32.3
Central,2023,6,35.6
Central,2023,7,37.6
Central,2023,8,37.5
Central,2023,9,34.7
Central,2023,10,29.2
Central,2023,11,22.6
